epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4557,1.64675,3.97013,1.63958,0.25386,0.40476,0.27387,0.13654,1.87506,4.18155,1.64995,1.764e-05,1.764e-05,1.764e-05
2,22.1511,1.42107,3.96023,1.52084,0.17653,0.52381,0.291,0.16249,1.53851,4.12701,1.41948,4.0345e-05,4.0345e-05,4.0345e-05
3,30.659,1.24455,3.86229,1.42349,0.10046,0.61905,0.30196,0.16579,1.41253,4.03179,1.28095,6.21187e-05,6.21187e-05,6.21187e-05
4,38.8498,1.10978,3.74167,1.2717,0.04983,0.71429,0.3596,0.19448,1.26592,3.97111,1.19911,8.29609e-05,8.29609e-05,8.29609e-05
5,46.8431,1.11676,3.67084,1.33023,0.04945,0.7619,0.44236,0.23343,1.23442,3.91843,1.15771,0.000102872,0.000102872,0.000102872
6,54.8454,1.02348,3.56055,1.30481,0.0406,0.7619,0.47723,0.29328,1.24316,3.88321,1.14235,0.000121851,0.000121851,0.000121851
7,63.03,1.11989,3.32383,1.28878,0.03446,0.7619,0.39301,0.24876,1.25608,3.8646,1.16206,0.000139899,0.000139899,0.000139899
8,70.9456,0.90513,3.1912,1.26091,0.04224,0.85714,0.44258,0.27358,1.30724,3.74939,1.17937,0.000157016,0.000157016,0.000157016
9,79.1588,1.02708,3.01716,1.24752,0.03644,0.85714,0.51369,0.31318,1.34609,3.62016,1.19938,0.000173201,0.000173201,0.000173201
10,87.4858,1.1199,2.9911,1.30899,0.03512,0.85714,0.6446,0.4052,1.33057,3.50921,1.22201,0.000188455,0.000188455,0.000188455
11,95.5763,1.02521,2.83972,1.24473,0.03366,0.85714,0.69095,0.43851,1.27651,3.36279,1.17465,0.000202778,0.000202778,0.000202778
12,103.6,1.07704,2.71738,1.29149,0.21245,0.80952,0.51963,0.35126,1.21473,3.32268,1.16125,0.000216169,0.000216169,0.000216169
13,111.69,0.98936,2.50984,1.21913,0.86128,0.21429,0.50199,0.3402,1.18836,3.27789,1.16518,0.000228629,0.000228629,0.000228629
14,119.73,0.95271,2.67444,1.27012,0.65082,0.4919,0.5035,0.35528,1.14736,3.21775,1.15635,0.000240157,0.000240157,0.000240157
15,127.732,1.02383,2.19332,1.20119,0.66591,0.49621,0.59426,0.44207,1.1318,3.19303,1.15789,0.000250754,0.000250754,0.000250754
16,135.564,1.00488,2.19865,1.24319,0.65518,0.60922,0.65354,0.46146,1.17498,3.16497,1.17478,0.000260419,0.000260419,0.000260419
17,143.584,0.97721,2.07191,1.21751,0.63117,0.61031,0.68063,0.48127,1.1738,3.09129,1.2032,0.000269153,0.000269153,0.000269153
18,151.94,0.98258,2.28457,1.26746,0.35777,0.95238,0.73554,0.50152,1.29343,2.98127,1.25408,0.000276956,0.000276956,0.000276956
19,159.821,1.00507,2.16097,1.23174,0.70594,0.5,0.83036,0.54323,1.299,2.97326,1.22985,0.000283828,0.000283828,0.000283828
20,167.776,0.84223,2.13639,1.19898,0.83463,0.20192,0.73676,0.49572,1.2833,2.96279,1.22203,0.000289768,0.000289768,0.000289768
21,175.767,0.97347,2.02422,1.26974,0.72532,0.33243,0.8069,0.54921,1.22572,3.00257,1.15858,0.000294776,0.000294776,0.000294776
22,183.783,1.00311,1.88251,1.29342,0.70865,0.3646,0.80698,0.57225,1.21075,2.87893,1.18961,0.000298853,0.000298853,0.000298853
23,191.579,1.02297,2.07936,1.30316,0.69831,0.40056,0.82524,0.55335,1.26224,2.68277,1.19567,0.000301999,0.000301999,0.000301999
24,199.601,0.97259,1.86667,1.20904,0.69473,0.56655,0.82681,0.56798,1.25579,2.54685,1.20454,0.000304214,0.000304214,0.000304214
25,207.687,0.9255,1.86734,1.16937,0.70196,0.6179,0.83812,0.55241,1.40642,2.49228,1.24373,0.000305497,0.000305497,0.000305497
26,215.553,1.03033,1.86006,1.30364,0.72065,0.51536,0.83636,0.57693,1.39654,2.44047,1.25453,0.00029694,0.00029694,0.00029694
27,223.631,0.85616,1.74034,1.13538,0.6881,0.67065,0.75429,0.49423,1.31951,2.35539,1.23274,0.000285298,0.000285298,0.000285298
28,231.841,0.91097,1.71922,1.18412,0.65614,0.73082,0.7454,0.52073,1.21205,2.25155,1.20453,0.000273655,0.000273655,0.000273655
29,239.997,0.8602,1.67766,1.15177,0.49459,0.77114,0.74738,0.52677,1.13186,2.24306,1.18525,0.000262013,0.000262013,0.000262013
30,248.1,0.92777,1.73819,1.14719,0.50358,0.82789,0.77393,0.54565,1.11863,2.1295,1.18791,0.00025037,0.00025037,0.00025037
31,256.011,0.96048,1.60106,1.17297,0.49429,0.85073,0.76057,0.51202,1.14023,2.03299,1.19584,0.000238728,0.000238728,0.000238728
32,264.006,0.84536,1.60855,1.16393,0.50618,0.84683,0.71971,0.48549,1.1945,1.94449,1.18488,0.000227086,0.000227086,0.000227086
33,272.026,0.89991,1.69241,1.20499,0.48856,0.85082,0.72168,0.48673,1.2567,1.86117,1.17661,0.000215443,0.000215443,0.000215443
34,279.989,0.84552,1.52717,1.1322,0.45635,0.77601,0.69799,0.47041,1.32962,1.89687,1.19146,0.000203801,0.000203801,0.000203801
35,287.912,0.94202,1.51476,1.17499,0.57168,0.72839,0.74919,0.50755,1.33672,1.90538,1.19909,0.000192158,0.000192158,0.000192158
36,295.798,0.82283,1.54224,1.14708,0.56087,0.84522,0.74919,0.5108,1.31732,1.89509,1.20094,0.000180516,0.000180516,0.000180516
37,304.807,0.83574,1.44611,1.12962,0.51237,0.82102,0.74774,0.51426,1.29642,1.86341,1.21029,0.000168874,0.000168874,0.000168874
38,314.03,0.84041,1.4993,1.15439,0.42202,0.66667,0.72678,0.50005,1.26284,1.84155,1.21613,0.000157231,0.000157231,0.000157231
39,322.273,0.81967,1.52084,1.12395,0.46814,0.66667,0.72201,0.50255,1.23117,1.82524,1.22302,0.000145589,0.000145589,0.000145589
40,330.344,0.87391,1.44999,1.10211,0.67845,0.7329,0.7457,0.51887,1.21616,1.79342,1.21569,0.000133946,0.000133946,0.000133946
41,338.486,0.86639,1.59152,1.13983,0.67936,0.73206,0.75839,0.51747,1.23414,1.79855,1.23011,0.000122304,0.000122304,0.000122304
42,346.414,0.83189,1.52714,1.17529,0.64772,0.74478,0.75129,0.49819,1.26233,1.80269,1.23317,0.000110662,0.000110662,0.000110662
43,354.341,0.80251,1.54816,1.14965,0.62406,0.74892,0.72771,0.47437,1.27966,1.81743,1.23647,9.90192e-05,9.90192e-05,9.90192e-05
44,362.08,0.74606,1.35883,1.04422,0.62872,0.74301,0.71671,0.47374,1.28531,1.83239,1.23388,8.73768e-05,8.73768e-05,8.73768e-05
45,370.193,0.80045,1.53791,1.09314,0.84369,0.60103,0.71671,0.48285,1.27677,1.84804,1.23355,7.57344e-05,7.57344e-05,7.57344e-05
46,378.022,0.75637,1.46469,1.03747,0.83029,0.60646,0.71581,0.48521,1.28508,1.83358,1.24216,6.4092e-05,6.4092e-05,6.4092e-05
47,386.574,0.72995,1.38549,1.08079,0.82408,0.64655,0.71671,0.47494,1.28652,1.79475,1.24311,5.24496e-05,5.24496e-05,5.24496e-05
48,394.092,0.72209,1.37084,1.08615,0.83368,0.66667,0.71671,0.46583,1.2987,1.74197,1.24766,4.08072e-05,4.08072e-05,4.08072e-05
49,401.935,0.7196,1.32616,1.09515,0.83717,0.66667,0.74655,0.48977,1.29048,1.69579,1.24321,2.91648e-05,2.91648e-05,2.91648e-05
50,409.847,0.73693,1.36981,1.05396,0.83991,0.66667,0.81762,0.50045,1.28133,1.66293,1.24498,1.75224e-05,1.75224e-05,1.75224e-05
