epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9926,1.74398,6.08515,1.74655,0.12493,0.46429,0.2495,0.15505,2.35147,6.0404,1.95909,1.764e-05,1.764e-05,1.764e-05
2,55.558,1.64412,4.9401,1.66492,0.26669,0.63095,0.37175,0.1938,1.65052,6.38519,1.49819,4.0345e-05,4.0345e-05,4.0345e-05
3,79.1531,1.45,4.03648,1.5135,0.51942,0.45238,0.47804,0.24551,1.66449,10.1733,1.33671,6.21187e-05,6.21187e-05,6.21187e-05
4,102.421,1.32969,3.43438,1.42802,0.64154,0.4881,0.53367,0.29439,1.66377,12.4139,1.37517,8.29609e-05,8.29609e-05,8.29609e-05
5,125.927,1.21875,2.97458,1.37374,0.61624,0.58333,0.61344,0.32012,1.68632,7,1.37997,0.000102872,0.000102872,0.000102872
6,149.043,1.16829,2.66101,1.32425,0.6746,0.55989,0.53921,0.30346,1.61013,3.96455,1.34876,0.000121851,0.000121851,0.000121851
7,171.903,1.24244,2.44562,1.33983,0.48027,0.58333,0.63929,0.33621,1.63125,3.8,1.27957,0.000139899,0.000139899,0.000139899
8,195.755,1.13644,2.47859,1.26115,0.28293,0.69485,0.61111,0.3129,1.66986,3.71606,1.26066,0.000157016,0.000157016,0.000157016
9,218.553,1.0948,2.0331,1.25021,0.64664,0.55223,0.64142,0.36901,1.49911,2.83618,1.19949,0.000173201,0.000173201,0.000173201
10,242.139,1.03897,2.00354,1.18415,0.50931,0.7188,0.57965,0.37186,1.30602,2.73384,1.21242,0.000188455,0.000188455,0.000188455
11,264.817,1.04848,1.84377,1.16856,0.78773,0.57639,0.62782,0.35589,1.28323,3.45053,1.19602,0.000202778,0.000202778,0.000202778
12,287.229,1.00535,1.78172,1.17849,0.58717,0.71922,0.66182,0.35478,1.48053,5.01809,1.2551,0.000216169,0.000216169,0.000216169
13,313,0.96107,1.68732,1.1758,0.66609,0.7619,0.79902,0.44392,1.59097,2.5243,1.325,0.000228629,0.000228629,0.000228629
14,337.397,0.97709,1.71184,1.1973,0.91132,0.59159,0.87336,0.52525,1.5527,2.13015,1.31287,0.000240157,0.000240157,0.000240157
15,360.982,0.9191,1.45857,1.12945,0.77927,0.65171,0.85682,0.55176,1.44978,2.06486,1.31137,0.000250754,0.000250754,0.000250754
16,385.232,0.95233,1.406,1.12283,0.69185,0.7663,0.87421,0.56696,1.41638,1.94266,1.27586,0.000260419,0.000260419,0.000260419
17,409.567,0.89288,1.29464,1.10018,0.83045,0.73663,0.79024,0.48316,1.46442,1.82898,1.29474,0.000269153,0.000269153,0.000269153
18,434.967,0.89664,1.37518,1.14453,0.79283,0.72619,0.82399,0.50384,1.46134,1.75216,1.32778,0.000276956,0.000276956,0.000276956
19,458.182,0.96863,1.32469,1.1557,0.74672,0.7619,0.90186,0.54218,1.50135,1.5736,1.36705,0.000283828,0.000283828,0.000283828
20,482.535,0.90542,1.261,1.11293,0.69195,0.7619,0.87533,0.52523,1.50868,1.52515,1.36669,0.000289768,0.000289768,0.000289768
21,505.842,0.93101,1.25849,1.18036,0.81152,0.68961,0.81384,0.44136,1.50567,1.7938,1.34518,0.000294776,0.000294776,0.000294776
22,528.28,0.88387,1.2035,1.10906,0.85582,0.66288,0.78432,0.39582,1.62498,1.80451,1.42324,0.000298853,0.000298853,0.000298853
23,550.654,0.83625,1.22384,1.066,0.71565,0.7619,0.79764,0.41851,1.66197,1.8196,1.48143,0.000301999,0.000301999,0.000301999
24,574.154,0.85666,1.07176,1.09038,0.87419,0.54445,0.71356,0.43618,1.53708,1.87417,1.43096,0.000304214,0.000304214,0.000304214
25,597.422,0.87713,1.12651,1.09585,0.81423,0.63092,0.67944,0.45565,1.40082,1.83047,1.31705,0.000305497,0.000305497,0.000305497
26,620.037,0.7751,1.13157,1.06702,0.69149,0.64727,0.68163,0.46467,1.2512,1.75576,1.27855,0.00029694,0.00029694,0.00029694
27,642.542,0.77936,1.10632,1.05006,0.70321,0.64386,0.69853,0.46996,1.21131,1.6979,1.29266,0.000285298,0.000285298,0.000285298
28,665.093,0.83672,1.0197,1.08477,0.78349,0.8035,0.78571,0.46699,1.28124,1.6756,1.28524,0.000273655,0.000273655,0.000273655
29,687.882,0.82587,1.01652,1.08563,0.67772,0.80952,0.82869,0.49285,1.37195,1.64002,1.30219,0.000262013,0.000262013,0.000262013
30,710.51,0.78692,1.06297,1.07035,0.66965,0.80952,0.82045,0.49037,1.44108,1.58011,1.35247,0.00025037,0.00025037,0.00025037
31,733.237,0.75065,0.99002,1.04068,0.6385,0.80952,0.83315,0.49048,1.46686,1.52612,1.36644,0.000238728,0.000238728,0.000238728
32,755.958,0.83527,0.99355,1.07027,0.89726,0.62382,0.82628,0.49917,1.422,1.52813,1.34826,0.000227086,0.000227086,0.000227086
33,778.521,0.84762,1.0253,1.11493,0.90088,0.61955,0.75353,0.46602,1.3613,1.45881,1.31662,0.000215443,0.000215443,0.000215443
34,801.692,0.77239,0.99595,1.07061,0.88681,0.58325,0.72252,0.47836,1.26598,1.44945,1.30942,0.000203801,0.000203801,0.000203801
35,824.906,0.76583,0.91781,1.06999,0.63537,0.77381,0.73458,0.49547,1.19789,1.44947,1.30018,0.000192158,0.000192158,0.000192158
36,847.168,0.6952,0.86143,1.01709,0.6384,0.80592,0.74296,0.50635,1.17902,1.43621,1.28781,0.000180516,0.000180516,0.000180516
37,869.534,0.75864,0.8552,1.03995,0.57605,0.80952,0.75653,0.51259,1.22886,1.36749,1.30114,0.000168874,0.000168874,0.000168874
38,891.989,0.64816,1.01329,1.06277,0.85459,0.63095,0.84271,0.54726,1.28611,1.289,1.30661,0.000157231,0.000157231,0.000157231
39,914.379,0.77619,0.85255,1.05823,0.88075,0.63095,0.83093,0.52474,1.32786,1.33206,1.30872,0.000145589,0.000145589,0.000145589
40,937.077,0.75188,0.88402,1.03683,0.88363,0.63095,0.83093,0.51194,1.37359,1.35995,1.31724,0.000133946,0.000133946,0.000133946
41,959.241,0.7961,0.95787,1.0781,0.70069,0.78138,0.83093,0.51498,1.38558,1.36864,1.31921,0.000122304,0.000122304,0.000122304
42,981.305,0.70141,0.7298,0.9891,0.70797,0.77381,0.82535,0.5201,1.38509,1.33859,1.31795,0.000110662,0.000110662,0.000110662
